ARDACODE,WAVE,ICOUNTRY,UNREGION,CIANAME,UNNAME,ISO3,NUMISO,COWCODE,GRI2008,GFI2008,MSRI2008,RELRECOD,UNHDI80,UNHDI90,UNHDI00,UNHDI05,UNHDI10,UNHDRK10,UNH_8010,UNH_9010,UNH_0010,UNHDIMP,UNINHDI,UNINLEPC,UNINEDUC,UNIN_INC,UN_GINI,UN_GII,UN_GII_R,UNMMORTR,UNADFERT,UNFEMPS,UNSED_F,UNSED_M,UN_CONTR,UNANTEN,UNBIRSK,UNMPI,UNMPIPOP,UNMPIRSK,UNDEP_ED,UNDEP_H,UNDEP_LS,UNPOVNPL,UNPOLFRE,UNHUMNR,UNPRESS,UNJOURN,UNBRIBE,UNDECNTR,UNPOLEN,UNADJNS,UNFOSSIL,UNRENEW,UNCO2_90,UNCO2_06,UNPROTEC,UNDEGRAD,UNACCH20,UNACCSAN,UNPOLDTH,UNNTLDIS,UNARMS_E,UNARMS_I,UNREFUGE,UNCIVINT,UNDRNR92,UNDRNR06,UNDEPR92,UNDEPR06,UNSATI,UNSATIF,UNSATJOB,UNSATHLT,UNSATLIV,UNHOMIC,UNROBBRY,UNASVICT,UNSAFWLK,UNPOP90,UNPOP10,UNPOP30,UNGR9095,UNGR1015,UNURB90,UNURB10,UNMAGE90,UNMAGE10,UNDRAT90,UNDRAT10,UNTFR95,UNTFR15,UNSEXR90,UNSEXR10,UNEMRT91,UNEMRT08,UNFEMP,UNFEMPF,UNVEMP,UNVEMPF,UNEMP125,UNCHLAB,UNMATLV,UNLIT,UNSECED,UNPRIM_G,UNPRIM_N,UNSEC_G,UNSEC_N,UNTERT_G,UNDROP,UNREPIT,UNPUPT,UNTRAIN,UNHLTH_,UNDOCS,UNBEDS,UNDTP,UNMEASLE,UNHIV_YF,UNHIV_YM,UNHIV_A,UNINFM,UN_5M,UNMORT_F,UNMORT_M,UNNONCOM,UNEXP_ED,UNEXP_H,UNEXP_RD,UNEXP_M,UNEXP_D,UNTAXREV,UNGFC,UNINVEST,UNODA_T,UNODA_PC,UNODASOC,UNREMITT,UNREMITP,UNGDP,UNGDPPPP,UNGDPCAP,UNGDPGRO,UNCPI_CH,UNROAD,UNRAIL,UNAIRFR,UNNOELEC,UNNEWSP,UNRADIO,UNTVCOV,UNPHONO,UNPHOPER,UNMOBCOV,UNNETUSE,UNNETGRO,UNBROADB,UNPCS,UNMOBCHG,UNFIXCHG,UNCALLP,CIATAREA,CIALAREA,CIAWAREA,CIABORD,CIACSTL,CIAPOP,CIAPSTR1,CIAPSTR2,CIAPSTR3,CIAPOPGR,CIABIRTH,CIAMORT,CIAMIGR,CIAURB_P,CIAURB_R,CIAINF_T,CIAINF_M,CIAINF_F,CIALIFEX,CIALIF_M,CIALIF_F,CIA_TFR,CIAHIV_R,CIAHIV_P,CIALIT_T,CIALIT_M,CIALIT_F,CIAEDEX,CIAGDPPP,CIAGDPOF,CIAGDPAG,CIAGDPIN,CIAGDPSV,CIALABOR,CIAUNEMP,CIAPOVL,CIAINVST,CIA_REV,CIA_EXPN,CIAPDEBT,CIAINFLA,CIAINGRO,CIAELPRO,CIAELCON,CIAELEX,CIAELIMS,CIAOIL_P,CIAOIL_C,CIAOIL_E,CIAOIL_I,CIAOIL_R,CIANG_P,CIANG_C,CIANG_E,CIANG_I,CIANG_R,CIA_ACC,CIAEXPRT,CIAIMPRT,CIARSRV,CIADEBTX,CIATELE1,CIATELE2,CIANET1,CIANET2,CIA_AIR1,CIA_AIR2,CIA_AIR3,CIA_HELI,CIA_RAIL,CIA_ROAD,CIA_WW,CIA_MILX,GRI_08R,GFI_08R,MSRI_08R,I_RELIGION,I_REGION,I_GVTREG,I_GVTFAV,I_SOCREG
1,2011.46,Afghanistan,15,Afghanistan,Afghanistan,AFG,4,700,10,9,10,7,,,,0.307,0.349,1,,,,,,0.161,0.199,,,0.797,134,1800,121.2666667,25.86666667,5.766666667,34,18.6,16,14,,,,,,,42,1,5,54.26666667,0,31,0,22,,,,0.2,0,0.4,11,52,63,5125,23278,,,2833.066667,2,,,,,4.066666667,4.066666667,71,79,53,,,16,37,12.56666667,29.1,50.6,7.266666667,3.2,18.1,22.6,16.8,16.86666667,94,92.76666667,8,6.266666667,106.0666667,106,54.1,55.2,,,,,,30,,,6.4,106.0666667,,28.6,26.8,1.3,,16.3,,,83,2,4,15,25,,,,165,257,398,543,1309,,1.8,,1.9,0.1,5.766666667,27.6,2.766666667,45.79888889,,47.7,,,10.56666667,32,366,1.9,12.9,6,,,85.56666667,,,,,,75,1.7,,,0.4,24.8,31.36666667,41,652230,652230,0,5529,0,29835392,42.26666667,55.26666667,2.366666667,2.375,37.82888889,17.39,3.31,23,4.7,149.1988889,152.75,145.6988889,45.02,44.78888889,45.25,5.388888889,0.008888889,,28.1,43.1,12.56666667,,29800000000,16630000000,31,26,43,15,35,36,,1,3.3,,13.3,,0.2855,0.2311,0,230,0,5000,0,4404,0,0.03,0.03,0,0,49.55,-2.475,0.547,5.299999999,,2.7,129300,12000000,46,1000000,53,19,34,11,,42150,1200,1.9,10,9,10,4,2,3,3,3
2,2011.46,Akrotiri,21,Akrotiri,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,47.36666667,56.26666667,15700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
3,2011.46,Albania,19,Albania,Albania,ALB,8,339,0,0.667,0,7,,0.647,0.67,0.7,0.719,-1,,0.52,0.7,,0.627,0.802,0.601,0.512,33,0.545,61,92,14.16666667,7.066666667,83.2,89.2,60.1,97,100,0.003962963,1,9.4,6.566666667,7.2,0.9,18.5,2,2,21.8,0,,2,14,8.5,68,21,2.266666667,1.366666667,9.8,6,3,2,97,21349,,13,15,0,-1,-1,10,8,4.566666667,,72,75,43,3.266666667,5,1,54,3.266666667,3.2,3.366666667,-1,0.5,36.36666667,51.86666667,23.8,30,61.6,48.5,2.766666667,1.9,108.2,107,48.86666667,48.86666667,,,,,1.3,12,,99,75.7,102.0666667,90.76666667,77.7,73.76666667,19.3,10.06666667,2.1,,,505,11,29,1,2,,,,13,14,91,141,752,2.9,2.9,,2,1.3,17.3,32.36666667,7.566666667,3,122.7666667,55.7,12.16666667,476,12.3,22.86666667,3911,2.2,2.9,,423,,,,98,95,,,99,23.86666667,21329,2,4.566666667,0,143,4,28748,27398,1350,717,362,2994667,21.36666667,68.06666667,10.5,0.267,12.15,6.15,-3.338888889,52,2.298888889,14.60888889,16.23,12.78888889,77.40888889,74.81888889,80.29888889,1.48,,,,,,,23330000000,11800000000,18.86666667,23.5,57.6,1.06,13.5,12.5,27.66666667,3.205,3.571,59.26666667,3.6,3,5.201,6.593,0,1884,5400,36000,748.8988889,24080,199.0988889,0.03,0.03,0,0,0.8495,-1.245,1.55,4.589999999,1.992,2.81,363000,4162000,15098,1300000,5,4,1,1,339,18000,41,1.49,0,1,0,4,4,0,1,0
4,2011.46,Algeria,11,Algeria,Algeria,DZA,12,615,8.611,9.333,10,7,0.443,0.537,0.602,0.651,0.677,1,1.42,1.158888889,1.178888889,9,,0.688,,,35.26666667,0.594,70,180,7.266666667,65,36.26666667,49.26666667,61.36666667,89,95,,,,,,,,1,3,49.6,0,28,1,16,21.36666667,100,0,3.1,4,6.266666667,29,17,5,324,622,,1518,9.066666667,1,-1,,10,10,5.566666667,5.9,66,87,61,0.6,72,15,39,25.3,35.36666667,44.7,2.2,1.5,52.1,66.5,18.16666667,26.16666667,87.4,46.26666667,4.066666667,2.266666667,104.5666667,104.5666667,39.2,39.2,64.76666667,0.76,34.86666667,1.53,,5,98,72.56666667,25.86666667,107.5,94.9,83.2,66.26666667,23.86666667,7.066666667,7.766666667,,98.9,338,12,17,7,12,0.1,0.1,0.1,36,41,119,144,565,4.266666667,3.6,0.1,3,0.8,46.5,27,1.6,0.2,9.166666667,49,1.3,64,166.5,276,4845,1.1,2.766666667,5,3572,17,0.6,,,,,3,82,11.9,2633,1.366666667,,7.7,46.5,7,2381741,2381741,0,6343,998,34994937,24.16666667,70.56666667,5.2,1.173,16.69,4.69,-0.27,66,2.298888889,25.80888889,28.8,22.67,74.5,72.78,76.31,1.75,0.1,18000,69.9,79.56666667,60.1,4.298888889,2.55E+11,1.59E+11,8.3,13.4,30.16666667,9.877,9.9,23,27.5,66.48,85.57,25.66666667,5,4.766666667,34.98,28.34,273,279,2125000,325000,1891000,14320,13420,86.5,26.83,59.67,0,4502,3.959,52.66,37.07,150.1,4.137999999,2576000,32730000,572,4700000,143,57,86,2,3973,108302,,3.298888889,9,9,10,4,1,3,3,3
5,2011.46,American Samoa,14,American Samoa,American Samoa,ASM,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,199,0,0,116,67242,31.86666667,63.86666667,4.2,1.211,22.84,4.098888889,-6.63,93,1.8,9.66,12.56,6.598888889,74.20888889,71.26888889,77.31888889,3.16,,,97,98,97,,575300000,462200000,,,,0.017359999,29.8,,,0.1554,0.1836,,,,0.185,0.1721,0,0,0,4000,0,4140,0,0,0,0,0,0,,0.4456,0.3088,,,10400,2200,1676,,3,3,,,,241,,,,,,,3,,,
6,2011.46,Andorra,19,Andorra,Andorra,AND,20,232,0,7,0,2,,,,0.803,0.824,2,,,,,,,,,,,,,,25,50.76666667,50.86666667,,,,,,,,,,,2,,,0,,,,,,,,,6,,0,0,0,,,,0,0,,,,,6.766666667,,,,,1.3,,,,0.1,0.1,0.1,4.066666667,1.5,94.7,88,,,,,,,,,,,,,,,,,,,50.86666667,86.7,80.06666667,82.2,71.4,11,,2.766666667,,100,3004,37,26,1,2,,,,3,4,44,99,373,3.2,5.266666667,,,,,,,,,,,,,,,0.8,,,,,,,,,,,99,70.5,,24.5,,,52.76666667,,468,468,0,120.2666667,0,84825,15.56666667,71.4,13,0.33,9.66,6.348888889,0,88,1.1,3.798888889,3.758888889,3.84,82.43,80.34888889,84.64,1.35,,,100,100,100,3.2,3300000000,,,,,0.038219999,2.9,,,0.872,0.8684,,1.6,,0.101,0.5987,9,497.6988889,,,,,,,,,,,,0.064,1.474,,,37900,64500,26773,67100,,,,,,320,,,0,7,0,1,4,0,3,0
7,2011.46,Angola,10,Angola,Angola,AGO,24,540,0.556,0,6,2,,,0.349,0.376,0.403,2,,,1.45,,0.242,0.206,0.207,0.334,58.6,,,1400,123.7,37.26666667,,,6.2,80,47,0.452,77.4,10.66666667,56.86666667,60.76666667,82,,0,3,36.5,0,33,0,39,-42.6,34,66,0.4,0.6,12.4,3,50,43,5225,5421,,20,171.4,0,66,44,24,17,4.266666667,4.2,72,67,54,5,,38,53,10.66666667,19,30.36666667,3.2,2.7,37.1,58.5,16.16666667,17.36666667,100.5,89.2,7.066666667,5.266666667,99.7,99.9,76.5,76.4,,,,,59.86666667,24,56,69.56666667,,,,17.3,,2.766666667,,,,,131,1,8,19,21,0.3,0.2,2.1,130,220,383,460,1071,2.6,2,,3,2.266666667,,12.4,2,0.5,20.5,69.06666667,0.1,5,84.9,104.7666667,4714,1.366666667,47,,,71,71.56666667,2,,,38,7493,40,3.1,3567,0.1,0.6,,60,27,1246700,1246700,0,5198,1600,13338541,43.2,54.1,2.7,2.033962963,42.90888889,23.39888889,0.82,59,4,175.9,187.86,163.34,38.75888889,37.74,39.82888889,5.968888889,2,200000,67.4,82.9,54.2,2.6,1.14E+11,85810000000,9.566666667,65.76666667,24.6,7.977,,40.5,15.9,40.41,37.38,20.3,13.3,5,3.722,3.173,0,0,1948000,70000,1407000,28090,13500,0.68,0.68,0,0,271.8,2.088999959,51.65,18.1,16.89,17.98,303200,8109000,3717,606700,193,31,162,,2764,51429,1300,3.6,1,0,6,1,1,1,0,2
8,2011.46,Anguilla,3,Anguilla,Anguilla,AIA,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91,0,0,61,15094,24,68.06666667,7.9,2.173,12.92,4.44,13.25,100,1.7,3.47,3.91,3.008888889,80.87,78.31888889,83.51,1.75,,,,,,3.5,175400000,175400000,4,18,78,0.006048999,8,23,,0.0228,0.0225,,5.298888889,,,,,,,,,,,,,,,,-0.042869959,0.1195,0.143,,0.008799999,6300,2700,271,3700,3,1,2,,,175,,,,,,,5,,,
9,2011.46,Antarctica,1,Antarctica,.,ATA,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000000,14000000,,0,17968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7765,,26,,26,53,,,,,,,,,3,,,
10,2011.46,Antigua and Barbuda,3,Antigua and Barbuda,Antigua and Barbuda,ATG,28,58,0,0,0,5,,,,,,,,,,,,,,,,,,,,16.66666667,,,,100,100,,,,,,,,2,,,0,,,,,,,4.9,5.066666667,7,,,,0,32725,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,1.9,1,35.36666667,30.3,,,,,,,,,,,,,,,,,,99,,102.5,74,105.2,,,2.6,5.566666667,17.1,52.86666667,946,,17,1,1,,,,11,12,160,192,674,3.9,3.2,,,,,73.7,20.8,0.7,91.26666667,82.9,1,141,1.166666667,1.8,14048,3.7,,,,,,,,,202,190,100,75,1200,14.5,20.66666667,,68.5,,442.6,442.6,0,0,153,87884,25.8,67.4,6.766666667,1.288962963,16.30888889,5.73,2.318888889,30,1.398888889,14.63,16.85,12.28888889,75.48,73.46888889,77.59,2.048888889,,,,,,2.7,1433000000,1099000000,3.766666667,22,74.26666667,0.029999999,11,,,0.2295,0.2934,,1.5,,0.11,0.1023,0,0,0,5000,219,4690,0,0,0,0,0,0,-0.211,0.0843,0.5228,,0.3598,37400,134900,9795,65000,3,2,1,,,1165,,0.5,0,0,0,3,5,0,0,0
