country,year,tyr,pri,sec,ter,democ,autoc,gdp,region,population,area,democavg,autocavg
Australia,1820,NA,35.159794,0,0,NA,NA,NA,NA,NA,NA,10,0
Australia,1825,NA,37.717892,0,0,NA,NA,NA,NA,NA,NA,10,0
Australia,1830,NA,40.348053,0.001643347,0,NA,NA,NA,NA,NA,NA,10,0
Australia,1835,NA,43.036888,0.004325619,0,NA,NA,NA,NA,NA,NA,10,0
Australia,1840,NA,45.769691,0.008782139,0,NA,NA,NA,NA,NA,NA,10,0
Australia,1845,NA,48.530735,0.015963674,0,NA,NA,NA,NA,NA,NA,10,0
Australia,1850,NA,51.303619,0.027283084,0.002544527,NA,NA,NA,NA,NA,NA,10,0
Australia,1855,NA,54.071667,0.044827092,0.006693805,NA,NA,NA,NA,NA,NA,10,0
Australia,1860,NA,56.81831,0.071660839,0.013443418,NA,NA,NA,NA,NA,NA,10,0
Australia,1865,NA,66.643776,0.11226391,0.024107192,NA,NA,NA,NA,NA,NA,10,0
Australia,1870,1.7424577,76.469246,0.17315148,0.040599823,NA,NA,NA,NA,NA,NA,10,0
Australia,1875,1.9082087,88.234619,0.26375291,0.065695383,NA,NA,NA,NA,NA,NA,10,0
Australia,1880,2.0578201,100,0.39764476,0.10339168,NA,NA,NA,NA,NA,NA,10,0
Australia,1885,2.3862393,98.389114,0.59425992,0.15942104,NA,NA,NA,NA,NA,NA,10,0
Australia,1890,2.7406032,96.778236,0.88121814,0.24196224,NA,NA,NA,NA,NA,NA,10,0
Australia,1895,2.9737573,98.389114,1.2974262,0.36262414,NA,NA,NA,NA,NA,NA,10,0
Australia,1900,3.0920691,100,1.8970492,0.53779113,NA,NA,NA,NA,NA,NA,10,0
Australia,1905,3.3620169,100,2.7542932,0.7904349,10,0,5208.375,5,4004000,NA,10,0
Australia,1910,3.8664389,100,3.9685616,0.86732572,10,0,6359.131,5,4375000,NA,10,0
Australia,1915,4.291604,100,5.6687922,1.0866926,10,0,5970.538,5,4971000,NA,10,0
Australia,1920,4.7075386,100,8.0144997,1.9569486,10,0,5813.429,5,5358000,NA,10,0
Australia,1925,5.4561749,100,11.189276,1.6500422,10,0,6795.454,5,5943000,NA,10,0
Australia,1930,6.0116558,100,15.38084,1.8548279,10,0,5748.887,5,6469000,NA,10,0
Australia,1935,6.5606303,99.523582,16.01729,2.0101306,10,0,6497.923,5,6732000,NA,10,0
Australia,1940,7.021317,99.047165,20.610174,2.8568707,10,0,7544.598,5,7042000,NA,10,0
Australia,1945,7.4798203,98.570755,25.784088,3.5224061,10,0,8469.825,5,7389000,NA,10,0
Australia,1950,8.2124281,98.094337,40.531883,8.1889915,10,0,9097.279,5,8267337,NA,10,0
Australia,1955,8.4902382,100,46.226124,5.942234,10,0,9871.799,5,9277087,7741220,10,0
Australia,1960,8.7849884,81.504349,46.310345,13.099999,10,0,10832,5,10276477,7741220,10,0
Australia,1965,9.1918592,78.339127,56.298851,16,10,0,12567.22,5,11388000,7741220,10,0
Australia,1970,10.109424,91,74.45977,16.6,10,0,15238.01,5,12507000,7741220,10,0
Australia,1975,10.804557,96,79,24,10,0,15917.91,5,13893000,7741220,10,0
Australia,1980,11.403393,100,76,25.400002,10,0,17494.11,5,14692000,7741220,10,0
Australia,1985,11.433768,97,86,27.700001,10,0,18934.99,5,15758000,7741220,10,0
Australia,1990,11.442933,98,78,35.5,10,0,20299.8,5,17065100,7741220,10,0
