app_Brown	app_Cameron	app_Clegg	persfin	natecon	affect_fc	app_Afgh	MP_resign	gender	age	rent_own	memb_union	income	vote_intent
4	4	3	2	1	2	1	2	0	64	0	0	8	1
5	5	5	1	1	2	0	1	1	42	1	0	6	1
5	0	4	2	1	1	0	1	1	45	0	1	7	1
5	3	2	3	2	1	1	1	0	58	0	0	1	1
4	6	7	3	1	4	1	1	1	55	0	0	7	3
7	2	4	2	2	2	1	1	0	38	0	0	13	1
4	2	8	4	2	3	1	1	0	33	0	1	14	3
5	4	6	3	2	2	1	1	1	53	0	1	7	3
4	2	4	2	3	1	0	1	1	72	0	0	6	1
10	4	2	2	2	3	1	1	0	78	0	0	3	1
1	8	6	2	1	2	0	1	1	57	0	0	11	2
3	5	5	2	4	3	1	1	0	28	1	1	7	2
5	3	3	3	1	3	0	1	1	57	0	1	14	1
4	7	5	2	2	3	0	3	1	29	0	0	11	2
4	4	4	3	1	2	0	3	1	52	0	0	11	1
6	2	7	2	4	2	0	3	0	59	0	1	4	1
5	5	4	1	1	2	0	3	1	52	0	0	7	1
5	6	7	4	2	3	0	3	1	45	0	1	8	3
2	7	6	3	4	4	0	1	1	76	0	0	3	2
8	0	2	3	4	3	0	1	0	79	0	1	2	1
5	5	4	2	1	1	0	1	1	31	0	1	11	2
2	7	6	3	1	2	0	1	1	65	0	1	6	2
2	5	5	3	4	4	1	3	0	27	1	0	3	3
4	7	7	3	3	1	1	1	0	28	0	1	15	2
3	5	4	5	4	2	0	2	1	56	0	1	13	2
2	3	1	3	1	4	0	1	0	64	1	0	4	2
6	7	6	1	1	2	1	1	1	43	0	0	2	1
8	4	10	3	1	4	1	1	0	61	1	0	2	1
7	4	5	3	2	4	1	3	0	27	0	1	11	1
7	7	6	2	2	3	0	3	0	47	1	0	10	1
2	7	7	2	1	2	0	1	0	57	0	0	6	2
5	5	3	3	2	2	0	1	0	30	1	0	7	1
3	5	5	2	1	2	0	1	1	71	0	0	2	2
5	2	6	3	2	4	0	1	1	72	1	0	2	3
0	8	3	2	2	1	0	1	0	54	0	1	7	2
4	7	5	1	2	2	0	3	1	22	1	0	8	3
10	8	3	3	3	4	0	1	1	80	0	0	2	1
7	6	5	3	1	3	0	1	0	75	0	0	2	2
9	4	3	1	4	2	0	1	1	55	0	0	4	1
7	2	3	3	2	3	0	1	1	76	0	0	2	1
3	9	5	4	2	4	0	2	0	32	0	0	10	2
6	5	5	1	1	2	0	3	1	45	0	0	1	1
4	6	6	4	2	2	0	1	1	48	0	1	14	3
8	5	2	1	3	1	0	1	1	63	0	0	6	1
9	4	3	2	1	3	0	1	0	73	1	0	2	1
5	7	2	3	3	4	1	1	0	92	0	0	7	2
7	4	5	2	2	2	0	1	1	20	1	0	2	1
3	6	5	3	3	3	1	3	0	50	0	0	13	2
4	5	4	2	1	1	1	1	1	41	0	0	5	2
7	7	7	3	3	3	1	1	0	69	0	1	12	3
6	7	7	1	3	2	1	2	1	39	0	0	6	2
6	7	4	1	1	2	0	1	1	48	0	0	4	1
3	7	5	2	4	2	0	1	0	58	0	0	12	2
8	1	5	3	4	2	0	1	0	85	0	0	2	1
0	9	5	2	1	2	1	1	0	69	0	1	8	2
7	8	6	3	2	3	0	1	0	33	0	0	13	1
5	6	5	3	1	4	1	1	0	24	0	1	11	2
0	10	5	4	1	4	0	1	1	55	1	0	4	2
10	0	2	3	4	2	0	2	1	68	0	0	8	1
9	0	7	3	2	4	1	3	1	81	0	0	3	1
7	5	5	2	2	2	0	3	0	53	1	1	10	1
6	7	3	1	1	1	1	1	0	68	0	0	3	3
4	2	4	4	4	1	0	3	0	47	1	0	8	1
3	0	2	2	1	2	0	1	0	72	1	1	2	1
4	5	2	4	1	2	0	3	0	34	0	1	10	1
2	8	3	3	2	4	1	1	0	27	0	0	7	2
8	2	1	2	3	4	0	1	1	65	1	0	2	1
3	6	3	3	2	4	0	1	0	76	0	0	7	2
0	6	3	3	3	2	0	1	0	43	0	0	11	2
5	7	3	4	1	3	0	1	1	39	0	0	12	2
6	4	4	3	2	4	0	1	0	41	0	1	6	1
8	6	3	2	1	4	0	1	1	42	0	0	10	2
8	1	3	3	2	4	1	1	0	63	1	0	10	1
8	5	4	3	3	1	1	1	0	38	1	0	4	1
5	2	2	3	2	4	0	1	1	73	0	0	10	1
6	0	2	4	4	4	0	1	0	44	1	0	8	1
7	0	5	4	3	4	1	3	0	68	0	1	8	1
8	4	2	1	1	1	0	1	1	68	1	0	5	1
5	7	8	2	2	2	0	1	1	49	0	0	13	1
0	7	5	4	2	2	1	1	1	55	0	0	15	2
4	6	5	3	4	4	0	1	1	74	0	0	3	2
1	6	0	4	2	4	0	1	0	58	0	1	7	2
7	8	6	5	2	2	0	2	0	44	1	1	5	1
4	5	4	4	2	4	1	1	0	66	1	0	3	2
8	5	5	3	2	4	0	3	1	87	1	0	2	1
5	2	2	2	2	4	0	3	1	42	0	0	3	1
8	0	5	3	4	4	0	3	0	89	0	0	4	1
0	8	3	3	1	3	1	1	0	73	0	0	4	2
1	4	3	3	1	3	0	3	1	72	1	0	3	2
0	0	3	2	1	4	1	3	0	33	0	1	7	1
4	6	2	1	1	2	0	1	0	41	0	0	5	2
10	0	4	1	2	1	1	1	0	64	0	0	7	1
9	6	4	2	1	3	0	1	0	85	0	0	2	1
3	7	7	3	1	4	0	1	1	76	0	0	2	2
5	3	4	1	2	1	0	1	1	52	0	1	6	3
6	9	3	2	2	2	0	2	0	73	0	0	4	2
10	4	2	3	2	4	0	1	1	84	1	0	2	1
0	10	3	3	3	4	0	2	1	44	1	0	12	2
4	7	4	4	2	4	0	1	0	67	1	0	2	2
4	3	8	3	2	4	0	1	1	82	1	0	2	3
6	10	4	3	3	2	0	1	1	40	1	0	3	2
7	5	2	3	3	3	1	2	1	37	0	1	4	2
