year,time,toptenpercent,topfivepercent,toponepercent,toppointonepercent,gdppc,labinag,secedu,Manufacturing,femalelabor,importsbygdp,housepolar,senatepolar
1913,1,,,17.96,8.62,5300.73,30.2,21.23,38.8,22.11,4.68,0.798,0.661
1914,2,,,18.16,8.6,4799.2,29.87,22.69,39,22.19,4.98,0.798,0.661
1915,3,,,17.58,9.22,4864.19,29.53,24.49,39.2,22.28,4.26,0.832,0.69
1916,4,,,18.57,9.87,5458.69,29.2,25.47,39.4,22.36,5.02,0.832,0.69
1917,5,40.29,30.33,17.6,8.36,5247.74,28.87,27.13,39.6,22.45,4.98,0.829,0.699
1918,6,39.9,29.3,15.88,6.74,5658.98,28.53,28.92,39.8,22.53,4.06,0.829,0.699
1919,7,39.48,29.31,15.87,6.45,5680.41,28.2,31.23,40,22.62,4.75,0.815,0.715
1920,8,38.1,27.47,14.46,5.37,5552.33,27.6,35.04,40.2,22.7,5.86,0.815,0.715
1921,9,42.86,30.46,15.47,5.6,5322.73,26.9,38.36,40.1,22.79,3.7,0.827,0.708
1922,10,42.95,31.05,16.29,6.17,5539.84,26.3,40.81,40.1,22.88,4.3,0.827,0.708
1923,11,40.59,28.95,14.99,5.5,6164.2,25.7,43.1,40,22.97,4.54,0.769,0.639
1924,12,43.26,30.93,16.32,6.14,6232.55,25,45.29,40,23.06,4.35,0.769,0.639
1925,13,44.17,32.47,17.6,6.75,6282.42,24.4,45.93,39.9,23.15,4.61,0.739,0.621
1926,14,44.07,32.75,18.01,7.07,6602.44,23.8,46.37,39.8,23.24,4.64,0.739,0.621
1927,15,44.67,33.43,18.68,7.47,6576.5,23.1,46.76,39.8,23.33,4.47,0.695,0.567
1928,16,46.09,34.77,19.6,8.19,6569.35,22.5,48.81,39.7,23.42,4.29,0.695,0.567
1929,17,43.76,33.05,18.42,7.62,6898.72,21.9,51.07,39.7,23.51,4.3,0.64,0.577
1930,18,43.07,31.18,16.42,6.4,6212.71,22.7,54.88,39.6,23.6,3.4,0.64,0.577
1931,19,44.4,31.01,15.27,5.68,5691.37,24.3,59.04,39.6,23.82,2.77,0.571,0.47
1932,20,46.3,32.59,15.48,5.9,4908.37,26.1,61.53,39.6,24.04,2.29,0.571,0.47
1933,21,45.03,32.49,15.77,6.05,4776.92,26,63.84,39.7,24.26,2.7,0.506,0.396
1934,22,45.16,32.99,15.87,5.82,5113.61,24.2,65.03,39.7,24.48,2.68,0.506,0.396
1935,23,43.39,30.99,15.63,5.8,5466.84,23.9,65.91,39.7,24.7,3.3,0.464,0.34
1936,24,44.77,32.65,17.64,6.69,6203.88,22.5,66.62,39.7,24.92,3.13,0.464,0.34
1937,25,43.35,31.38,16.45,6.16,6430.12,21.2,67.7,39.7,25.14,3.48,0.454,0.327
1938,26,43,30.18,14.73,5.16,6126.47,21.9,69.31,39.8,25.36,2.57,0.454,0.327
1939,27,44.57,31.29,15.39,5.45,6560.75,21,71.33,39.8,25.58,2.63,0.439,0.3
1940,28,44.43,31.29,15.73,5.57,7009.64,20.16,72.96,39.8,25.8,2.67,0.439,0.3
1941,29,41.02,29.02,15.01,5.29,8205.68,19.31,70.45,39.9,26.12,2.7,0.447,0.307
1942,30,35.49,25.11,12.91,4.48,9741.11,18.47,68.35,40.1,26.44,1.76,0.447,0.307
1943,31,32.67,23.02,11.48,3.78,11518.17,17.63,63.05,40.2,26.76,1.77,0.433,0.314
1944,32,31.55,21.76,10.54,3.33,12333.45,16.79,64.67,40.3,27.08,1.87,0.433,0.314
1945,33,32.64,22.9,11.07,3.32,11708.65,15.94,67.74,40.5,27.4,1.96,0.462,0.317
1946,34,34.62,24.66,11.76,3.43,9196.54,15.1,72.02,40.6,27.72,2.35,0.462,0.317
1947,35,33.02,23.3,10.95,3.24,8885.99,14.2,70.53,40.7,28.04,2.48,0.421,0.316
